case_id,investigation_type,investigation_date,findings
20251030-0950,Follow-up,2024-07-14 11:13:39,Investigation findings for case 20251030-0950
20251030-0950,Follow-up,2024-07-23 11:13:39,Investigation findings for case 20251030-0950
20251030-0950,Initial,2024-07-30 11:13:39,Investigation findings for case 20251030-0950
20251030-0950,Interview,2024-08-08 11:13:39,Investigation findings for case 20251030-0950
20251030-0950,Follow-up,2024-08-07 11:13:39,Investigation findings for case 20251030-0950
20251030-0952,Evidence Collection,2024-01-20 16:23:02,Investigation findings for case 20251030-0952
20251030-0952,Initial,2024-01-16 16:23:02,Investigation findings for case 20251030-0952
20251030-0952,Evidence Collection,2024-01-13 16:23:02,Investigation findings for case 20251030-0952
20251030-0952,Interview,2024-01-15 16:23:02,Investigation findings for case 20251030-0952
20251030-0952,Evidence Collection,2024-02-01 16:23:02,Investigation findings for case 20251030-0952
20251030-0953,Initial,2024-05-24 00:09:35,Investigation findings for case 20251030-0953
20251030-0954,Evidence Collection,2023-04-22 21:10:52,Investigation findings for case 20251030-0954
20251030-0955,Initial,2023-01-19 14:31:55,Investigation findings for case 20251030-0955
20251030-0958,Follow-up,2024-06-18 15:14:36,Investigation findings for case 20251030-0958
20251030-0958,Initial,2024-06-07 15:14:36,Investigation findings for case 20251030-0958
20251030-0958,Evidence Collection,2024-06-26 15:14:36,Investigation findings for case 20251030-0958
20251030-0959,Interview,2023-05-11 20:54:54,Investigation findings for case 20251030-0959
20251030-0960,Evidence Collection,2023-10-25 16:52:26,Investigation findings for case 20251030-0960
20251030-0961,Follow-up,2024-05-13 17:31:03,Investigation findings for case 20251030-0961
20251030-0961,Interview,2024-04-24 17:31:03,Investigation findings for case 20251030-0961
20251030-0961,Evidence Collection,2024-04-21 17:31:03,Investigation findings for case 20251030-0961
20251030-0961,Interview,2024-05-06 17:31:03,Investigation findings for case 20251030-0961
20251030-0964,Follow-up,2024-11-08 12:35:43,Investigation findings for case 20251030-0964
20251030-0964,Initial,2024-10-31 12:35:43,Investigation findings for case 20251030-0964
20251030-0964,Initial,2024-10-13 12:35:43,Investigation findings for case 20251030-0964
20251030-0964,Initial,2024-10-17 12:35:43,Investigation findings for case 20251030-0964
20251030-0965,Follow-up,2023-06-13 03:05:25,Investigation findings for case 20251030-0965
20251030-0966,Interview,2024-04-05 14:40:40,Investigation findings for case 20251030-0966
20251030-0966,Initial,2024-03-19 14:40:40,Investigation findings for case 20251030-0966
20251030-0966,Initial,2024-03-21 14:40:40,Investigation findings for case 20251030-0966
20251030-0967,Interview,2023-03-26 06:26:30,Investigation findings for case 20251030-0967
20251030-0967,Initial,2023-03-21 06:26:30,Investigation findings for case 20251030-0967
20251030-0967,Initial,2023-03-27 06:26:30,Investigation findings for case 20251030-0967
20251030-0967,Follow-up,2023-03-23 06:26:30,Investigation findings for case 20251030-0967
20251030-0968,Evidence Collection,2024-11-15 15:30:32,Investigation findings for case 20251030-0968
20251030-0968,Initial,2024-11-15 15:30:32,Investigation findings for case 20251030-0968
20251030-0968,Interview,2024-11-09 15:30:32,Investigation findings for case 20251030-0968
20251030-0968,Evidence Collection,2024-11-28 15:30:32,Investigation findings for case 20251030-0968
20251030-0968,Evidence Collection,2024-11-20 15:30:32,Investigation findings for case 20251030-0968
20251030-0969,Follow-up,2024-12-21 05:27:44,Investigation findings for case 20251030-0969
20251030-0970,Evidence Collection,2023-09-20 05:06:05,Investigation findings for case 20251030-0970
20251030-0970,Evidence Collection,2023-09-16 05:06:05,Investigation findings for case 20251030-0970
20251030-0970,Initial,2023-09-19 05:06:05,Investigation findings for case 20251030-0970
20251030-0972,Follow-up,2023-04-01 12:51:48,Investigation findings for case 20251030-0972
20251030-0972,Interview,2023-03-22 12:51:48,Investigation findings for case 20251030-0972
20251030-0972,Initial,2023-03-27 12:51:48,Investigation findings for case 20251030-0972
20251030-0973,Initial,2023-04-16 11:08:59,Investigation findings for case 20251030-0973
20251030-0973,Interview,2023-04-26 11:08:59,Investigation findings for case 20251030-0973
20251030-0973,Follow-up,2023-04-24 11:08:59,Investigation findings for case 20251030-0973
20251030-0973,Initial,2023-04-01 11:08:59,Investigation findings for case 20251030-0973
20251030-0973,Evidence Collection,2023-04-17 11:08:59,Investigation findings for case 20251030-0973
20251030-0974,Evidence Collection,2024-02-10 12:09:48,Investigation findings for case 20251030-0974
20251030-0974,Interview,2024-02-23 12:09:48,Investigation findings for case 20251030-0974
20251030-0975,Interview,2024-08-02 22:19:30,Investigation findings for case 20251030-0975
20251030-0975,Interview,2024-07-18 22:19:30,Investigation findings for case 20251030-0975
20251030-0976,Interview,2023-12-10 12:22:44,Investigation findings for case 20251030-0976
20251030-0976,Initial,2023-11-21 12:22:44,Investigation findings for case 20251030-0976
20251030-0976,Evidence Collection,2023-11-22 12:22:44,Investigation findings for case 20251030-0976
20251030-0976,Interview,2023-11-30 12:22:44,Investigation findings for case 20251030-0976
20251030-0977,Initial,2024-10-24 20:13:54,Investigation findings for case 20251030-0977
20251030-0977,Interview,2024-11-06 20:13:54,Investigation findings for case 20251030-0977
20251030-0978,Initial,2024-09-17 21:11:55,Investigation findings for case 20251030-0978
20251030-0978,Follow-up,2024-09-25 21:11:55,Investigation findings for case 20251030-0978
20251030-0978,Evidence Collection,2024-09-19 21:11:55,Investigation findings for case 20251030-0978
20251030-0978,Interview,2024-08-28 21:11:55,Investigation findings for case 20251030-0978
20251030-0978,Interview,2024-09-03 21:11:55,Investigation findings for case 20251030-0978
20251030-0979,Initial,2024-07-12 19:10:12,Investigation findings for case 20251030-0979
20251030-0982,Follow-up,2024-10-12 19:21:16,Investigation findings for case 20251030-0982
20251030-0982,Evidence Collection,2024-09-28 19:21:16,Investigation findings for case 20251030-0982
20251030-0985,Initial,2023-05-21 10:54:00,Investigation findings for case 20251030-0985
20251030-0985,Evidence Collection,2023-05-28 10:54:00,Investigation findings for case 20251030-0985
20251030-0985,Initial,2023-06-08 10:54:00,Investigation findings for case 20251030-0985
20251030-0988,Follow-up,2023-12-03 14:55:11,Investigation findings for case 20251030-0988
20251030-0989,Evidence Collection,2024-12-15 08:53:40,Investigation findings for case 20251030-0989
20251030-0991,Evidence Collection,2023-10-31 07:58:47,Investigation findings for case 20251030-0991
20251030-0991,Interview,2023-11-17 07:58:47,Investigation findings for case 20251030-0991
20251030-0991,Evidence Collection,2023-11-09 07:58:47,Investigation findings for case 20251030-0991
20251030-0991,Follow-up,2023-11-12 07:58:47,Investigation findings for case 20251030-0991
20251030-0991,Evidence Collection,2023-11-20 07:58:47,Investigation findings for case 20251030-0991
20251030-0992,Interview,2023-08-19 07:47:43,Investigation findings for case 20251030-0992
20251030-0992,Initial,2023-08-04 07:47:43,Investigation findings for case 20251030-0992
20251030-0992,Evidence Collection,2023-08-13 07:47:43,Investigation findings for case 20251030-0992
20251030-0993,Evidence Collection,2024-10-12 07:21:15,Investigation findings for case 20251030-0993
20251030-0993,Initial,2024-10-17 07:21:15,Investigation findings for case 20251030-0993
20251030-0993,Follow-up,2024-10-15 07:21:15,Investigation findings for case 20251030-0993
20251030-0993,Initial,2024-10-16 07:21:15,Investigation findings for case 20251030-0993
20251030-0993,Initial,2024-11-03 07:21:15,Investigation findings for case 20251030-0993
20251030-0994,Follow-up,2023-01-26 19:34:41,Investigation findings for case 20251030-0994
20251030-0994,Evidence Collection,2023-02-02 19:34:41,Investigation findings for case 20251030-0994
20251030-0994,Evidence Collection,2023-02-17 19:34:41,Investigation findings for case 20251030-0994
20251030-0994,Follow-up,2023-02-01 19:34:41,Investigation findings for case 20251030-0994
20251030-0996,Follow-up,2023-02-05 05:51:58,Investigation findings for case 20251030-0996
20251030-0996,Evidence Collection,2023-01-21 05:51:58,Investigation findings for case 20251030-0996
20251030-0998,Initial,2023-05-17 17:58:26,Investigation findings for case 20251030-0998
20251030-0999,Evidence Collection,2023-07-22 21:43:22,Investigation findings for case 20251030-0999
20251030-0999,Interview,2023-08-12 21:43:22,Investigation findings for case 20251030-0999
20251030-0999,Follow-up,2023-07-25 21:43:22,Investigation findings for case 20251030-0999
20251030-0999,Initial,2023-07-28 21:43:22,Investigation findings for case 20251030-0999
20251030-1001,Interview,2023-11-03 20:39:51,Investigation findings for case 20251030-1001
20251030-1001,Follow-up,2023-11-11 20:39:51,Investigation findings for case 20251030-1001
20251030-1002,Follow-up,2024-02-27 14:37:04,Investigation findings for case 20251030-1002
20251030-1002,Evidence Collection,2024-03-04 14:37:04,Investigation findings for case 20251030-1002
20251030-1004,Initial,2024-02-04 01:53:02,Investigation findings for case 20251030-1004
20251030-1004,Follow-up,2024-02-07 01:53:02,Investigation findings for case 20251030-1004
20251030-1004,Interview,2024-02-04 01:53:02,Investigation findings for case 20251030-1004
20251030-1004,Follow-up,2024-01-21 01:53:02,Investigation findings for case 20251030-1004
20251030-1004,Evidence Collection,2024-01-23 01:53:02,Investigation findings for case 20251030-1004
20251030-1005,Follow-up,2024-07-10 21:20:40,Investigation findings for case 20251030-1005
20251030-1005,Follow-up,2024-07-04 21:20:40,Investigation findings for case 20251030-1005
20251030-1008,Evidence Collection,2024-11-24 23:47:34,Investigation findings for case 20251030-1008
20251030-1008,Evidence Collection,2024-11-15 23:47:34,Investigation findings for case 20251030-1008
20251030-1008,Follow-up,2024-11-07 23:47:34,Investigation findings for case 20251030-1008
20251030-1008,Interview,2024-11-13 23:47:34,Investigation findings for case 20251030-1008
20251030-1008,Evidence Collection,2024-11-24 23:47:34,Investigation findings for case 20251030-1008
20251030-1010,Interview,2024-04-23 12:31:21,Investigation findings for case 20251030-1010
20251030-1010,Follow-up,2024-04-11 12:31:21,Investigation findings for case 20251030-1010
20251030-1010,Initial,2024-04-12 12:31:21,Investigation findings for case 20251030-1010
20251030-1010,Initial,2024-04-22 12:31:21,Investigation findings for case 20251030-1010
20251030-1010,Evidence Collection,2024-04-05 12:31:21,Investigation findings for case 20251030-1010
20251030-1011,Follow-up,2023-09-02 13:15:53,Investigation findings for case 20251030-1011
20251030-1011,Follow-up,2023-09-16 13:15:53,Investigation findings for case 20251030-1011
20251030-1013,Evidence Collection,2023-12-05 22:07:01,Investigation findings for case 20251030-1013
20251030-1013,Initial,2023-11-27 22:07:01,Investigation findings for case 20251030-1013
20251030-1013,Follow-up,2023-11-17 22:07:01,Investigation findings for case 20251030-1013
20251030-1015,Follow-up,2023-08-10 16:28:28,Investigation findings for case 20251030-1015
20251030-1016,Evidence Collection,2025-01-23 20:54:00,Investigation findings for case 20251030-1016
20251030-1016,Evidence Collection,2025-01-11 20:54:00,Investigation findings for case 20251030-1016
20251030-1016,Interview,2025-01-19 20:54:00,Investigation findings for case 20251030-1016
20251030-1016,Interview,2025-01-06 20:54:00,Investigation findings for case 20251030-1016
20251030-1017,Initial,2023-08-11 14:02:12,Investigation findings for case 20251030-1017
20251030-1017,Initial,2023-08-06 14:02:12,Investigation findings for case 20251030-1017
20251030-1017,Initial,2023-07-29 14:02:12,Investigation findings for case 20251030-1017
20251030-1017,Evidence Collection,2023-08-08 14:02:12,Investigation findings for case 20251030-1017
20251030-1018,Evidence Collection,2023-06-16 09:19:16,Investigation findings for case 20251030-1018
20251030-1018,Evidence Collection,2023-06-23 09:19:16,Investigation findings for case 20251030-1018
20251030-1019,Follow-up,2023-01-22 10:02:56,Investigation findings for case 20251030-1019
20251030-1019,Follow-up,2023-02-08 10:02:56,Investigation findings for case 20251030-1019
20251030-1019,Follow-up,2023-01-16 10:02:56,Investigation findings for case 20251030-1019
20251030-1019,Evidence Collection,2023-01-10 10:02:56,Investigation findings for case 20251030-1019
20251030-1021,Follow-up,2023-08-30 23:43:27,Investigation findings for case 20251030-1021
20251030-1021,Interview,2023-08-03 23:43:27,Investigation findings for case 20251030-1021
20251030-1021,Follow-up,2023-08-08 23:43:27,Investigation findings for case 20251030-1021
20251030-1021,Follow-up,2023-08-30 23:43:27,Investigation findings for case 20251030-1021
20251030-1021,Initial,2023-08-25 23:43:27,Investigation findings for case 20251030-1021
20251030-1022,Evidence Collection,2024-05-08 17:21:58,Investigation findings for case 20251030-1022
20251030-1022,Interview,2024-05-08 17:21:58,Investigation findings for case 20251030-1022
20251030-1022,Evidence Collection,2024-05-20 17:21:58,Investigation findings for case 20251030-1022
20251030-1022,Evidence Collection,2024-05-20 17:21:58,Investigation findings for case 20251030-1022
20251030-1022,Follow-up,2024-05-28 17:21:58,Investigation findings for case 20251030-1022
20251030-1023,Evidence Collection,2024-07-24 11:23:43,Investigation findings for case 20251030-1023
20251030-1023,Follow-up,2024-08-17 11:23:43,Investigation findings for case 20251030-1023
20251030-1024,Initial,2023-11-16 20:00:57,Investigation findings for case 20251030-1024
20251030-1024,Evidence Collection,2023-11-28 20:00:57,Investigation findings for case 20251030-1024
20251030-1024,Initial,2023-11-10 20:00:57,Investigation findings for case 20251030-1024
20251030-1024,Interview,2023-11-24 20:00:57,Investigation findings for case 20251030-1024
20251030-1024,Evidence Collection,2023-12-08 20:00:57,Investigation findings for case 20251030-1024
20251030-1025,Follow-up,2024-05-04 20:39:34,Investigation findings for case 20251030-1025
20251030-1025,Interview,2024-05-04 20:39:34,Investigation findings for case 20251030-1025
20251030-1025,Evidence Collection,2024-05-25 20:39:34,Investigation findings for case 20251030-1025
20251030-1026,Follow-up,2023-07-28 09:48:48,Investigation findings for case 20251030-1026
20251030-1026,Interview,2023-07-07 09:48:48,Investigation findings for case 20251030-1026
20251030-1028,Follow-up,2023-02-20 17:12:54,Investigation findings for case 20251030-1028
20251030-1028,Initial,2023-03-08 17:12:54,Investigation findings for case 20251030-1028
20251030-1028,Evidence Collection,2023-02-25 17:12:54,Investigation findings for case 20251030-1028
20251030-1028,Follow-up,2023-02-28 17:12:54,Investigation findings for case 20251030-1028
20251030-1029,Evidence Collection,2024-10-25 08:19:32,Investigation findings for case 20251030-1029
20251030-1029,Initial,2024-10-29 08:19:32,Investigation findings for case 20251030-1029
20251030-1029,Follow-up,2024-10-16 08:19:32,Investigation findings for case 20251030-1029
20251030-1029,Evidence Collection,2024-11-12 08:19:32,Investigation findings for case 20251030-1029
20251030-1029,Initial,2024-11-09 08:19:32,Investigation findings for case 20251030-1029
20251030-1032,Evidence Collection,2024-02-21 21:06:36,Investigation findings for case 20251030-1032
20251030-1033,Follow-up,2023-05-01 19:53:52,Investigation findings for case 20251030-1033
20251030-1033,Follow-up,2023-04-29 19:53:52,Investigation findings for case 20251030-1033
20251030-1033,Initial,2023-05-05 19:53:52,Investigation findings for case 20251030-1033
20251030-1034,Follow-up,2024-02-05 14:29:36,Investigation findings for case 20251030-1034
20251030-1034,Interview,2024-02-12 14:29:36,Investigation findings for case 20251030-1034
20251030-1034,Interview,2024-02-12 14:29:36,Investigation findings for case 20251030-1034
20251030-1034,Initial,2024-01-25 14:29:36,Investigation findings for case 20251030-1034
20251030-1034,Evidence Collection,2024-01-23 14:29:36,Investigation findings for case 20251030-1034
20251030-1035,Follow-up,2023-06-28 13:02:01,Investigation findings for case 20251030-1035
20251030-1035,Interview,2023-07-21 13:02:01,Investigation findings for case 20251030-1035
20251030-1036,Evidence Collection,2023-07-11 09:26:17,Investigation findings for case 20251030-1036
20251030-1036,Evidence Collection,2023-07-21 09:26:17,Investigation findings for case 20251030-1036
20251030-1040,Follow-up,2024-01-09 20:40:39,Investigation findings for case 20251030-1040
20251030-1040,Interview,2024-01-02 20:40:39,Investigation findings for case 20251030-1040
20251030-1041,Initial,2024-07-20 18:20:38,Investigation findings for case 20251030-1041
20251030-1041,Interview,2024-07-15 18:20:38,Investigation findings for case 20251030-1041
20251030-1041,Initial,2024-07-26 18:20:38,Investigation findings for case 20251030-1041
20251030-1042,Evidence Collection,2024-04-25 07:17:54,Investigation findings for case 20251030-1042
20251030-1042,Evidence Collection,2024-04-06 07:17:54,Investigation findings for case 20251030-1042
20251030-1042,Interview,2024-04-28 07:17:54,Investigation findings for case 20251030-1042
20251030-1042,Initial,2024-04-30 07:17:54,Investigation findings for case 20251030-1042
20251030-1042,Initial,2024-04-10 07:17:54,Investigation findings for case 20251030-1042
20251030-1044,Initial,2024-07-22 20:51:32,Investigation findings for case 20251030-1044
20251030-1044,Interview,2024-07-05 20:51:32,Investigation findings for case 20251030-1044
20251030-1044,Interview,2024-07-22 20:51:32,Investigation findings for case 20251030-1044
20251030-1044,Initial,2024-07-28 20:51:32,Investigation findings for case 20251030-1044
20251030-1044,Interview,2024-07-17 20:51:32,Investigation findings for case 20251030-1044
20251030-1045,Evidence Collection,2023-11-05 21:19:34,Investigation findings for case 20251030-1045
20251030-1045,Interview,2023-11-14 21:19:34,Investigation findings for case 20251030-1045
20251030-1045,Evidence Collection,2023-10-29 21:19:34,Investigation findings for case 20251030-1045
20251030-1047,Interview,2023-05-29 22:14:14,Investigation findings for case 20251030-1047
20251030-1047,Interview,2023-05-14 22:14:14,Investigation findings for case 20251030-1047
20251030-1047,Interview,2023-06-02 22:14:14,Investigation findings for case 20251030-1047
20251030-1047,Initial,2023-06-03 22:14:14,Investigation findings for case 20251030-1047
20251030-1047,Interview,2023-05-17 22:14:14,Investigation findings for case 20251030-1047
20251030-1048,Follow-up,2024-09-04 20:15:41,Investigation findings for case 20251030-1048
20251030-1048,Interview,2024-08-15 20:15:41,Investigation findings for case 20251030-1048
20251030-1049,Follow-up,2023-03-23 20:47:14,Investigation findings for case 20251030-1049
20251030-1049,Interview,2023-03-26 20:47:14,Investigation findings for case 20251030-1049
20251030-1049,Interview,2023-04-03 20:47:14,Investigation findings for case 20251030-1049
20251030-1049,Evidence Collection,2023-04-08 20:47:14,Investigation findings for case 20251030-1049
20251030-1049,Initial,2023-04-06 20:47:14,Investigation findings for case 20251030-1049
20251030-1050,Interview,2024-11-07 06:04:31,Investigation findings for case 20251030-1050
20251030-1050,Interview,2024-10-26 06:04:31,Investigation findings for case 20251030-1050
20251030-1050,Initial,2024-10-22 06:04:31,Investigation findings for case 20251030-1050
20251030-1050,Initial,2024-10-18 06:04:31,Investigation findings for case 20251030-1050
20251030-1050,Interview,2024-10-29 06:04:31,Investigation findings for case 20251030-1050
20251030-1051,Evidence Collection,2024-07-07 21:59:12,Investigation findings for case 20251030-1051
20251030-1051,Initial,2024-08-03 21:59:12,Investigation findings for case 20251030-1051
20251030-1051,Evidence Collection,2024-07-22 21:59:12,Investigation findings for case 20251030-1051
20251030-1054,Follow-up,2023-05-06 12:18:04,Investigation findings for case 20251030-1054
20251030-1055,Initial,2023-02-01 04:56:36,Investigation findings for case 20251030-1055
20251030-1055,Follow-up,2023-02-04 04:56:36,Investigation findings for case 20251030-1055
20251030-1055,Evidence Collection,2023-01-30 04:56:36,Investigation findings for case 20251030-1055
20251030-1055,Evidence Collection,2023-02-06 04:56:36,Investigation findings for case 20251030-1055
20251030-1055,Interview,2023-01-16 04:56:36,Investigation findings for case 20251030-1055
20251030-1056,Evidence Collection,2023-06-08 18:59:32,Investigation findings for case 20251030-1056
20251030-1056,Interview,2023-06-22 18:59:32,Investigation findings for case 20251030-1056
20251030-1056,Interview,2023-06-20 18:59:32,Investigation findings for case 20251030-1056
20251030-1056,Initial,2023-06-15 18:59:32,Investigation findings for case 20251030-1056
20251030-1056,Evidence Collection,2023-06-28 18:59:32,Investigation findings for case 20251030-1056
20251030-1057,Interview,2023-01-09 21:27:32,Investigation findings for case 20251030-1057
20251030-1058,Initial,2025-01-19 19:35:43,Investigation findings for case 20251030-1058
20251030-1058,Initial,2025-01-12 19:35:43,Investigation findings for case 20251030-1058
20251030-1058,Initial,2025-01-22 19:35:43,Investigation findings for case 20251030-1058
20251030-1058,Evidence Collection,2025-01-29 19:35:43,Investigation findings for case 20251030-1058
20251030-1058,Interview,2024-12-31 19:35:43,Investigation findings for case 20251030-1058
20251030-1060,Initial,2023-02-26 00:51:53,Investigation findings for case 20251030-1060
20251030-1060,Initial,2023-03-03 00:51:53,Investigation findings for case 20251030-1060
20251030-1062,Interview,2024-10-23 18:46:33,Investigation findings for case 20251030-1062
20251030-1062,Follow-up,2024-10-08 18:46:33,Investigation findings for case 20251030-1062
20251030-1062,Evidence Collection,2024-10-17 18:46:33,Investigation findings for case 20251030-1062
20251030-1062,Interview,2024-10-07 18:46:33,Investigation findings for case 20251030-1062
20251030-1062,Evidence Collection,2024-09-27 18:46:33,Investigation findings for case 20251030-1062
20251030-1063,Evidence Collection,2023-03-07 14:59:19,Investigation findings for case 20251030-1063
20251030-1063,Follow-up,2023-03-30 14:59:19,Investigation findings for case 20251030-1063
20251030-1063,Initial,2023-03-10 14:59:19,Investigation findings for case 20251030-1063
20251030-1063,Evidence Collection,2023-04-02 14:59:19,Investigation findings for case 20251030-1063
20251030-1063,Follow-up,2023-03-20 14:59:19,Investigation findings for case 20251030-1063
20251030-1064,Evidence Collection,2024-12-03 11:36:20,Investigation findings for case 20251030-1064
20251030-1064,Interview,2024-12-06 11:36:20,Investigation findings for case 20251030-1064
20251030-1064,Initial,2024-11-16 11:36:20,Investigation findings for case 20251030-1064
20251030-1064,Interview,2024-11-28 11:36:20,Investigation findings for case 20251030-1064
20251030-1066,Initial,2023-04-18 09:31:57,Investigation findings for case 20251030-1066
20251030-1066,Interview,2023-04-28 09:31:57,Investigation findings for case 20251030-1066
20251030-1066,Follow-up,2023-04-03 09:31:57,Investigation findings for case 20251030-1066
20251030-1066,Interview,2023-04-18 09:31:57,Investigation findings for case 20251030-1066
20251030-1066,Follow-up,2023-04-15 09:31:57,Investigation findings for case 20251030-1066
20251030-1067,Initial,2023-06-06 09:55:26,Investigation findings for case 20251030-1067
20251030-1067,Initial,2023-05-16 09:55:26,Investigation findings for case 20251030-1067
20251030-1067,Evidence Collection,2023-05-25 09:55:26,Investigation findings for case 20251030-1067
20251030-1067,Interview,2023-05-23 09:55:26,Investigation findings for case 20251030-1067
20251030-1067,Initial,2023-06-12 09:55:26,Investigation findings for case 20251030-1067
20251030-1068,Initial,2024-05-17 19:56:09,Investigation findings for case 20251030-1068
20251030-1068,Follow-up,2024-05-14 19:56:09,Investigation findings for case 20251030-1068
20251030-1068,Evidence Collection,2024-05-06 19:56:09,Investigation findings for case 20251030-1068
20251030-1068,Evidence Collection,2024-04-29 19:56:09,Investigation findings for case 20251030-1068
20251030-1069,Initial,2024-10-22 23:33:22,Investigation findings for case 20251030-1069
20251030-1070,Evidence Collection,2023-02-16 20:59:05,Investigation findings for case 20251030-1070
20251030-1070,Interview,2023-03-08 20:59:05,Investigation findings for case 20251030-1070
20251030-1071,Interview,2024-10-06 21:10:43,Investigation findings for case 20251030-1071
20251030-1071,Interview,2024-10-02 21:10:43,Investigation findings for case 20251030-1071
20251030-1071,Initial,2024-10-16 21:10:43,Investigation findings for case 20251030-1071
20251030-1078,Follow-up,2024-06-08 13:46:07,Investigation findings for case 20251030-1078
20251030-1078,Evidence Collection,2024-06-04 13:46:07,Investigation findings for case 20251030-1078
20251030-1078,Interview,2024-05-10 13:46:07,Investigation findings for case 20251030-1078
20251030-1078,Evidence Collection,2024-05-30 13:46:07,Investigation findings for case 20251030-1078
20251030-1078,Evidence Collection,2024-05-10 13:46:07,Investigation findings for case 20251030-1078
20251030-1080,Follow-up,2024-04-04 20:15:17,Investigation findings for case 20251030-1080
20251030-1080,Initial,2024-04-13 20:15:17,Investigation findings for case 20251030-1080
20251030-1081,Evidence Collection,2023-03-08 22:26:16,Investigation findings for case 20251030-1081
20251030-1081,Initial,2023-04-01 22:26:16,Investigation findings for case 20251030-1081
20251030-1082,Follow-up,2023-05-06 08:07:16,Investigation findings for case 20251030-1082
20251030-1083,Evidence Collection,2025-01-17 23:47:30,Investigation findings for case 20251030-1083
20251030-1083,Evidence Collection,2025-01-17 23:47:30,Investigation findings for case 20251030-1083
20251030-1083,Initial,2024-12-25 23:47:30,Investigation findings for case 20251030-1083
20251030-1083,Follow-up,2024-12-31 23:47:30,Investigation findings for case 20251030-1083
20251030-1085,Follow-up,2024-04-26 10:19:39,Investigation findings for case 20251030-1085
20251030-1085,Interview,2024-05-04 10:19:39,Investigation findings for case 20251030-1085
20251030-1085,Interview,2024-04-29 10:19:39,Investigation findings for case 20251030-1085
20251030-1085,Follow-up,2024-05-14 10:19:39,Investigation findings for case 20251030-1085
20251030-1086,Evidence Collection,2024-08-05 21:45:02,Investigation findings for case 20251030-1086
20251030-1086,Follow-up,2024-07-31 21:45:02,Investigation findings for case 20251030-1086
20251030-1088,Evidence Collection,2024-08-20 19:31:17,Investigation findings for case 20251030-1088
20251030-1088,Evidence Collection,2024-08-01 19:31:17,Investigation findings for case 20251030-1088
20251030-1088,Interview,2024-08-10 19:31:17,Investigation findings for case 20251030-1088
20251030-1088,Follow-up,2024-08-19 19:31:17,Investigation findings for case 20251030-1088
20251030-1088,Initial,2024-08-15 19:31:17,Investigation findings for case 20251030-1088
20251030-1090,Initial,2023-08-23 12:49:31,Investigation findings for case 20251030-1090
20251030-1090,Evidence Collection,2023-08-02 12:49:31,Investigation findings for case 20251030-1090
20251030-1091,Initial,2023-07-31 15:37:51,Investigation findings for case 20251030-1091
20251030-1091,Follow-up,2023-07-25 15:37:51,Investigation findings for case 20251030-1091
20251030-1091,Evidence Collection,2023-08-06 15:37:51,Investigation findings for case 20251030-1091
20251030-1092,Interview,2024-07-10 14:17:22,Investigation findings for case 20251030-1092
20251030-1092,Evidence Collection,2024-07-02 14:17:22,Investigation findings for case 20251030-1092
20251030-1092,Interview,2024-07-18 14:17:22,Investigation findings for case 20251030-1092
20251030-1092,Evidence Collection,2024-07-03 14:17:22,Investigation findings for case 20251030-1092
20251030-1092,Follow-up,2024-07-22 14:17:22,Investigation findings for case 20251030-1092
20251030-1093,Follow-up,2023-11-18 15:56:04,Investigation findings for case 20251030-1093
20251030-1093,Interview,2023-11-10 15:56:04,Investigation findings for case 20251030-1093
20251030-1094,Initial,2024-08-07 13:27:30,Investigation findings for case 20251030-1094
20251030-1094,Interview,2024-07-22 13:27:30,Investigation findings for case 20251030-1094
20251030-1095,Evidence Collection,2023-09-30 20:15:59,Investigation findings for case 20251030-1095
20251030-1095,Initial,2023-09-23 20:15:59,Investigation findings for case 20251030-1095
20251030-1095,Interview,2023-09-12 20:15:59,Investigation findings for case 20251030-1095
20251030-1098,Initial,2023-08-09 22:01:14,Investigation findings for case 20251030-1098
20251030-1098,Evidence Collection,2023-08-15 22:01:14,Investigation findings for case 20251030-1098
20251030-1099,Interview,2024-05-18 16:18:19,Investigation findings for case 20251030-1099
20251030-1099,Evidence Collection,2024-05-01 16:18:19,Investigation findings for case 20251030-1099
20251030-1099,Evidence Collection,2024-04-28 16:18:19,Investigation findings for case 20251030-1099
20251030-1099,Follow-up,2024-04-27 16:18:19,Investigation findings for case 20251030-1099
20251030-1100,Initial,2024-03-24 19:32:02,Investigation findings for case 20251030-1100
20251030-1100,Initial,2024-03-31 19:32:02,Investigation findings for case 20251030-1100
20251030-1101,Follow-up,2024-07-21 22:39:17,Investigation findings for case 20251030-1101
20251030-1101,Follow-up,2024-08-05 22:39:17,Investigation findings for case 20251030-1101
20251030-1101,Interview,2024-08-05 22:39:17,Investigation findings for case 20251030-1101
20251030-1102,Initial,2023-03-31 19:16:27,Investigation findings for case 20251030-1102
20251030-1102,Evidence Collection,2023-04-11 19:16:27,Investigation findings for case 20251030-1102
20251030-1102,Initial,2023-04-22 19:16:27,Investigation findings for case 20251030-1102
20251030-1102,Follow-up,2023-04-05 19:16:27,Investigation findings for case 20251030-1102
20251030-1103,Initial,2024-10-01 13:06:54,Investigation findings for case 20251030-1103
20251030-1103,Evidence Collection,2024-10-10 13:06:54,Investigation findings for case 20251030-1103
20251030-1103,Evidence Collection,2024-10-09 13:06:54,Investigation findings for case 20251030-1103
20251030-1104,Interview,2023-08-01 20:20:05,Investigation findings for case 20251030-1104
20251030-1105,Initial,2024-12-18 09:44:30,Investigation findings for case 20251030-1105
